* * * * * * * * * * * * * * * * * * * *

Below is a selection from the Seoul weather dataset from:

Cho et al., 2020
https://www.kaggle.com/datasets/smokingkrils/temperature-forecast-project-using-ml

The dataset below was modified from the Kaggle data set, by
1) retaining only the rows for weather station 1
2) removing rows with missing data
3) removing the weather station column
4) splitting the Date column into DayOfYear and Year columns.

* * * * * * * * * * * * * * * * * * * *

DayOfYear,Year,Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar radiation,Next_Tmax,Next_Tmin
181,2013,28.7,21.4,58.2557,91.1164,28.0741,23.0069,6.81889,69.4518,0.233947,0.203896,0.161697,0.130928,0,0,0,0,37.6046,126.991,212.335,2.785,5992.9,29.1,21.2
7,2013,28.3,21.2,72.7986,97.6428,25.2767,21.1426,15.608,64.9149,0.615612,0.843199,0.810455,0.62204,0.804222,9.93311,0.237004,0.848082,37.6046,126.991,212.335,2.785,5987.72,24.8,18.7
38,2013,24.4,20.6,55.6473,98.37,27.7855,19.5618,11.1686,74.6259,0.312105,0.273683,0.030997,0.0106166,0.000503279,0,0,0,37.6046,126.991,212.335,2.785,5981.98,28.1,17.8
66,2013,27.9,17.9,76.018,95.9905,28.1257,21.9826,10.5465,39.8099,0.187604,0.390579,0.438748,0.789554,0,0,0,0.0516951,37.6046,126.991,212.335,2.785,5975.68,25.2,20.8
97,2013,24.9,21.5,55.8886,97.4025,30.4583,22.0771,7.39314,63.5996,0.81498,0.430494,0.160574,0.00111601,0.0969973,0.0218711,0,0,37.6046,126.991,212.335,2.785,5968.81,28,19.7
127,2013,27.8,19.9,58.7274,99.1375,29.8558,21.1213,7.79509,59.4338,0.321885,0.258274,0.0564801,0.0108805,0.000996994,0.000254467,0,0,37.6046,126.991,212.335,2.785,5961.38,28.2,19.3
158,2013,27.6,19.6,67.762,97.2208,28.2281,21.6653,9.50051,54.5754,0.0230377,0.0799151,0.636301,0.857584,0,0,0.0439202,7.64833,37.6046,126.991,212.335,2.785,5953.38,27.1,19.9
188,2013,25.9,20.1,85.7085,96.843,25.8544,23.2798,14.014,35.9467,0.611415,0.789539,0.700002,0.614782,0.00915085,0.582034,0.016512,0.0201849,37.6046,126.991,212.335,2.785,5944.78,23.4,20.2
219,2013,23.1,20.5,88.8237,99.752,25.3683,22.2264,11.0857,25.2933,0.486661,0.383428,0.31452,0.299179,0.220251,0.0209418,0.0540493,0,37.6046,126.991,212.335,2.785,5935.62,23,21.6
280,2013,23.3,22,84.5944,99.6633,24.8121,22.7224,11.1341,22.7651,0.855552,0.648211,0.840916,0.738754,0.135891,0.118207,0.00218725,0,37.6046,126.991,212.335,2.785,5915.58,22.4,21.7
311,2013,22.4,21.7,95.8189,98.0206,23.3568,21.4472,11.5586,25.8034,0.882198,0.963207,0.971772,0.862037,0.621599,4.39893,3.58756,0.520114,37.6046,126.991,212.335,2.785,5904.71,21.8,21.1
194,2013,22.9,20.5,95.1716,98.9163,24.4087,23.3636,12.3648,21.8711,0.951899,0.883179,0.949593,0.77865,16.1815,1.10042,1.61427,0,37.6046,126.991,212.335,2.785,5881.22,23.2,21.2
195,2013,23.1,21.3,72.9856,98.9058,28.2317,22.6147,10.3747,54.3187,0.792033,0.789055,0.33695,0.385886,5.79943,0.874444,0,0,37.6046,126.991,212.335,2.785,5868.6,26.1,22
196,2013,25.8,22.1,82.1276,95.318,25.5548,23.3805,15.7061,33.9702,0.562678,0.732706,0.683003,0.712081,0,0,0.0668236,0.00195312,37.6046,126.991,212.335,2.785,5855.4,25.7,22.4
197,2013,25.2,23.3,65.7702,99.7464,27.0523,21.3642,12.7465,92.3794,0.950322,0.458469,0.0657111,0.268743,3.98912,0.0157125,0,0,37.6046,126.991,212.335,2.785,5841.62,23.1,21.2
198,2013,22.7,21.2,84.576,99.0077,25.064,22.9812,7.28766,33.4371,0.629637,0.565326,0.533598,0.37737,3.12189,0.259718,0,0,37.6046,126.991,212.335,2.785,5827.26,24.8,21.9
200,2013,27.3,21.8,73.2836,89.8316,28.0499,24.1075,12.5773,51.3235,0.213099,0.406164,0.262614,0.384802,0,0,0,0,37.6046,126.991,212.335,2.785,5796.75,27.5,22.5
